location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_dose_plus,first_dose_plus,second_dose_plus
Thailand,27-02-2021,Sinovac,https://www.bangkokpost.com/thailand/general/2076339/thailand-adds-80-covid-cases-monday,0,0,0,0,0,0
Thailand,01-03-2021,Sinovac,https://www.bangkokpost.com/thailand/general/2076339/thailand-adds-80-covid-cases-monday,319,319,0,0,0,0
Thailand,02-03-2021,Sinovac,https://thestandard.co/people-who-have-been-vaccinated-against-covid-19-in-thailand/,7262,7262,0,0,0,0
Thailand,10-03-2021,Sinovac,https://www.rfa.org/english/news/myanmar/vaccinate-03102021170611.html,33621,33621,0,0,0,0
Thailand,13-03-2021,"Oxford/AstraZeneca, Sinovac",https://thethaiger.com/coronavirus/thailands-private-hospitals-planning-to-profit-off-covid-19-vaccine,53842,53842,0,0,0,0
Thailand,24-03-2021,"Oxford/AstraZeneca, Sinovac",https://www.archyde.com/update-96188-cumulative-covid-vaccination-new-lot-which-province-get-how-much-check-now/,102050,96188,5862,0,0,0
Thailand,30-03-2021,"Oxford/AstraZeneca, Sinovac",https://www.facebook.com/OICDDC/posts/3823323381121560,180477,151413,29064,0,0,0
Thailand,01-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-02.pdf,204642,167235,37407,12899,8740,4159
Thailand,02-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-03.pdf,231882,189666,42216,27240,22431,4809
Thailand,03-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-04.pdf,244254,201864,42390,12380,12198,182
Thailand,04-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-05.pdf,257484,213948,43536,13233,12087,1146
Thailand,05-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-06.pdf,294881,247850,47031,37397,33902,3495
Thailand,06-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-07.pdf,323989,274354,49635,29108,26504,2604
Thailand,07-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-08.pdf,391752,336808,54944,67763,62454,5309
Thailand,08-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-09.pdf,466374,405911,60463,74622,69103,5519
Thailand,09-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-10.pdf,537380,470301,67079,71006,64390,6616
Thailand,10-04-2021,"Oxford/AstraZeneca, Sinovac",https://ddc.moph.go.th/uploads/ckeditor2//files/Dialy%20report%202021-04-11.pdf,555396,485957,69439,18016,15656,2360
