date,first_dose_cum,second_dose_cum,third_dose_cum,total_vaccinations_cum,first_dose_daily,second_dose_daily,third_dose_daily,total_vaccinations_daily,data_anomaly
2021-02-24,0,0,0,0,0,0,0,0,
2021-02-25,0,0,0,0,0,0,0,0,
2021-02-26,0,0,0,0,0,0,0,0,
2021-02-27,0,0,0,0,0,0,0,0,
2021-02-28,0,0,0,0,0,0,0,0,
2021-03-01,0,0,0,0,0,0,0,0,
2021-03-02,0,0,0,0,0,0,0,0,
2021-03-03,0,0,0,0,0,0,0,0,
2021-03-04,0,0,0,0,0,0,0,0,
2021-03-05,0,0,0,0,0,0,0,0,
2021-03-06,27497,0,0,27497,27497,0,0,27497,
2021-03-07,27497,0,0,27497,0,0,0,0,
2021-03-08,29900,0,0,29900,2403,0,0,2403,
2021-03-09,33621,0,0,33621,3721,0,0,3721,
2021-03-10,36797,0,0,36797,3176,0,0,3176,
2021-03-11,40140,0,0,40140,3343,0,0,3343,
2021-03-12,44409,0,0,44409,4269,0,0,4269,
2021-03-13,44963,0,0,44963,554,0,0,554,
2021-03-14,46598,0,0,46598,1635,0,0,1635,
2021-03-15,50388,0,0,50388,3790,0,0,3790,
2021-03-16,53842,0,0,53842,3454,0,0,3454,
2021-03-17,58024,0,0,58024,4182,0,0,4182,
2021-03-18,62941,0,0,62941,4917,0,0,4917,
2021-03-19,67223,0,0,67223,4282,0,0,4282,
2021-03-20,69927,0,0,69927,2704,0,0,2704,
2021-03-21,73517,0,0,73517,3590,0,0,3590,
2021-03-22,82812,2429,0,85241,9295,2429,0,11724,
2021-03-23,82812,2429,0,85241,0,0,0,0,
2021-03-24,109153,11448,0,120601,26341,9019,0,35360,
2021-03-25,121392,14798,0,136190,12239,3350,0,15589,
2021-03-26,129509,19396,0,148905,8117,4598,0,12715,
2021-03-27,130187,19920,0,150107,678,524,0,1202,
2021-03-28,133110,21183,0,154293,2923,1263,0,4186,
2021-03-29,141081,25277,0,166358,7971,4094,0,12065,
2021-03-30,151413,29064,0,180477,10332,3787,0,14119,
2021-03-31,158497,33248,0,191745,7084,4184,0,11268,
2021-04-01,165975,36176,0,202151,7478,2928,0,10406,
2021-04-02,189666,42216,0,231882,23691,6040,0,29731,
2021-04-03,201864,42390,0,244254,12198,174,0,12372,
2021-04-04,213948,43536,0,257484,12084,1146,0,13230,
2021-04-05,247850,47031,0,294881,33902,3495,0,37397,
2021-04-06,274354,49635,0,323989,26504,2604,0,29108,
2021-04-07,336808,54944,0,391752,62454,5309,0,67763,
2021-04-08,405911,60463,0,466374,69103,5519,0,74622,
2021-04-09,470301,67079,0,537380,64390,6616,0,71006,
2021-04-10,485957,69439,0,555396,15656,2360,0,18016,
2021-04-11,498791,71261,0,570052,12834,1822,0,14656,
2021-04-12,505215,73317,0,578532,6424,2056,0,8480,
2021-04-13,505744,73561,0,579305,529,244,0,773,
2021-04-14,505744,73561,0,579305,0,0,0,0,
2021-04-15,510456,75576,0,586032,4712,2015,0,6727,
2021-04-16,523830,81429,0,605259,13374,5853,0,19227,
2021-04-17,526706,81815,0,608521,2876,386,0,3262,
2021-04-18,535925,82658,0,618583,9219,843,0,10062,
2021-04-19,571825,94385,0,666210,35900,11727,0,47627,
2021-04-20,604947,107663,0,712610,33122,13278,0,46400,
2021-04-21,746617,118223,0,864840,141670,10560,0,152230,
2021-04-22,834082,130743,0,964825,87465,12520,0,99985,
2021-04-23,934449,160996,0,1095445,100367,30253,0,130620,
2021-04-24,949124,175029,0,1124153,14675,14033,0,28708,
2021-04-25,972204,177462,0,1149666,23080,2433,0,25513,
2021-04-26,1012388,214644,0,1227032,40184,37182,0,77366,
2021-04-27,1038960,240753,0,1279713,26572,26109,0,52681,
2021-04-28,1059721,284925,0,1344646,20761,44172,0,64933,
2021-04-29,1075756,335858,0,1411614,16035,50933,0,66968,
2021-04-30,1095230,381848,0,1477078,19474,45990,0,65464,
2021-05-01,1097862,386703,0,1484565,2632,4855,0,7487,
2021-05-02,1099460,387447,0,1486907,1598,744,0,2342,
2021-05-03,1106071,392546,0,1498617,6611,5099,0,11710,
2021-05-04,1145696,422511,0,1568207,39625,29965,0,69590,
2021-05-05,1167719,434114,0,1601833,22023,11603,0,33626,
2021-05-06,1201258,450524,0,1651782,33539,16410,0,49949,
2021-05-07,1262703,467785,0,1730488,61445,17261,0,78706,
2021-05-08,1273666,470054,0,1743720,10963,2269,0,13232,
2021-05-09,1296440,513454,0,1809894,22774,43400,0,66174,
2021-05-10,1365992,532462,0,1898454,69552,19008,0,88560,
2021-05-11,1372013,563552,0,1935565,6021,31090,0,37111,
2021-05-12,1395130,645233,0,2040363,23117,81681,0,104798,
2021-05-13,1416732,708300,0,2125032,21602,63067,0,84669,
2021-05-14,1462762,779388,0,2242150,46030,71088,0,117118,
2021-05-15,1462762,779388,0,2242150,0,0,0,0,
2021-05-16,1482702,781606,0,2264308,19940,2218,0,22158,
2021-05-17,1521034,819961,0,2340995,38332,38355,0,76687,
2021-05-18,1585773,859872,0,2445645,64739,39911,0,104650,
2021-05-19,1647871,892245,0,2540116,62098,32373,0,94471,
2021-05-20,1726431,921825,0,2648256,78560,29580,0,108140,
2021-05-21,1849393,962156,0,2811549,122962,40331,0,163293,
2021-05-22,1898332,966759,0,2865091,48939,4603,0,53542,
2021-05-23,1941565,969099,0,2910664,43233,2340,0,45573,
2021-05-24,2044123,980190,0,3024313,102558,11091,0,113649,
2021-05-25,2157609,989618,0,3147227,113486,9428,0,122914,
2021-05-26,2214721,994161,0,3208882,57112,4543,0,61655,
2021-05-27,2319304,1027746,0,3347050,104583,33585,0,138168,
2021-05-28,2415903,1088222,0,3504125,96599,60476,0,157075,
2021-05-29,2453807,1094523,0,3548330,37904,6301,0,44205,
2021-05-30,2498929,1110953,0,3609882,45122,16430,0,61552,
2021-05-31,2539491,1125368,0,3664859,40562,14415,0,54977,
2021-06-01,2591372,1162346,0,3753718,51881,36978,0,88859,
2021-06-02,2738289,1221067,0,3959356,146917,58721,0,205638,
2021-06-03,2727759,1233830,0,3961589,-10530,12763,0,2233,
2021-06-04,2818676,1324268,0,4142944,90917,90438,0,181355,
2021-06-05,2845287,1345216,0,4190503,26611,20948,0,47559,
2021-06-06,2855041,1363053,0,4218094,9754,17837,0,27591,
2021-06-07,3243913,1391028,0,4634941,388872,27975,0,416847,
2021-06-08,3672372,1434697,0,5107069,428459,43669,0,472128,
2021-06-09,3966091,1477652,0,5443743,293719,42955,0,336674,
